BOTTLE,20240829CCHHYDRO
33RR20220613  ,P02E       ,200     ,  2,21         ,21         ,2,20220712,0451,  32.6220,-118.6778,     1066,    116.9,2,   9.2170,2,  34.0023,2,  34.0025,2,    123.9,2,    123.7,2,    27.96,2,    24.21,2,     0.00,2,     1.86,2,    2.711,2,    1.623,2,   1.3802,2,   2192.4,2,   2257.3,2,   7.5256,2,    24.99,2,     -999,9,   9.2196,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     26.0,2,   0.0134,1,   4.6616,1,     29.8,2,20220712,0534,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,20         ,20         ,2,20220712,0451,  32.6220,-118.6778,     1066,    141.9,2,   9.0395,2,  34.0796,2,  34.0791,2,    101.1,2,    100.6,2,    32.75,2,    26.47,2,     0.00,2,     2.05,2,    2.482,2,    1.485,2,   1.1749,2,   2212.2,2,   2264.5,2,   7.4811,2,    24.98,2,     -999,9,   9.0368,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     28.8,2,   0.0134,1,   4.6629,1,     33.8,2,20220712,0531,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,19         ,39         ,2,20220712,0451,  32.6220,-118.6778,     1066,    166.8,2,   8.6718,2,  34.1103,2,  34.1123,2,     89.2,3,     87.9,2,    37.05,2,    28.24,2,     0.00,2,     2.19,2,    2.298,2,    1.381,2,   0.9931,2,   2225.0,2,   2271.5,2,   7.4539,2,    24.98,2,     -999,9,   8.6713,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     30.0,2,   0.0134,1,   4.6625,1,     35.1,2,20220712,0530,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,18         ,18         ,2,20220712,0451,  32.6220,-118.6778,     1066,    192.4,2,   8.4483,2,  34.1248,2,  34.1260,2,     79.9,3,     79.0,2,    39.88,2,    29.32,2,     0.00,2,     2.27,2,    2.180,2,    1.314,2,   0.8391,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   8.4468,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     31.2,2,   0.0134,1,   4.6622,1,     35.0,2,20220712,0529,  32.6221,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,17         ,37         ,2,20220712,0451,  32.6220,-118.6778,     1066,    217.2,2,   8.2014,2,  34.1643,2,  34.1615,2,     64.7,2,     65.0,2,    43.79,2,    30.66,2,     0.00,2,     2.40,2,    2.010,2,    1.169,2,   0.6768,2,   2248.8,2,   2278.9,2,   7.4066,2,    24.98,2,     -999,9,   8.1996,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     32.2,2,   0.0134,1,   4.6639,1,     37.5,2,20220712,0527,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,16         ,16         ,2,20220712,0451,  32.6220,-118.6778,     1066,    242.3,2,   8.3061,2,  34.2405,2,  34.2244,2,     45.8,3,     47.3,2,    45.94,2,    31.24,2,     0.00,2,     2.54,2,    1.656,2,    0.970,2,   0.5760,2,   2249.1,3,   2285.0,2,   7.3812,2,    24.99,2,     -999,9,   8.2473,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     32.6,2,   0.0134,1,   4.6625,1,     37.1,2,20220712,0525,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,15         ,15         ,2,20220712,0451,  32.6220,-118.6778,     1066,    287.8,2,   7.9811,2,  34.2975,2,  34.3003,2,     27.2,3,     28.6,2,    51.80,2,    32.87,2,     0.00,2,     2.73,2,    1.159,2,    0.676,2,   0.4016,2,   2280.8,2,   2294.0,2,   7.3541,2,    24.99,2,     -999,9,   7.9882,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     34.6,2,   0.0134,1,   4.6630,1,     43.5,2,20220712,0523,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,14         ,42         ,2,20220712,0451,  32.6220,-118.6778,     1066,    338.3,2,   7.6263,2,  34.3104,2,  34.3115,2,     22.0,2,     21.9,2,    56.49,2,    34.21,2,     0.00,2,     2.84,2,    0.912,2,    0.521,2,   0.2996,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   7.6263,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     35.9,2,   0.0134,1,   4.6609,1,     46.0,2,20220712,0521,  32.6221,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,13         ,13         ,2,20220712,0451,  32.6220,-118.6778,     1066,    388.7,2,   7.2946,2,  34.3258,2,  34.3272,2,     17.1,3,     16.7,2,    60.79,2,    35.35,2,     0.00,2,     2.90,2,    0.693,2,    0.387,2,   0.2384,2,   2300.7,2,   2306.0,2,   7.3367,2,    24.98,2,     -999,9,   7.2927,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6645,1,     48.6,2,20220712,0518,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,12         ,12         ,2,20220712,0451,  32.6220,-118.6778,     1066,    438.7,2,   6.8879,2,  34.3401,2,  34.3395,2,     13.1,3,     12.9,2,    66.26,2,    36.73,2,     0.00,2,     2.98,2,    0.491,2,    0.275,2,   0.1491,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   6.8913,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6663,1,     51.4,2,20220712,0517,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,11         ,11         ,2,20220712,0451,  32.6220,-118.6778,     1066,    489.5,2,   6.4315,2,  34.3123,2,  34.3103,2,     14.2,3,     14.6,2,    71.93,2,    38.28,2,     0.00,2,     3.01,2,    0.466,2,    0.257,2,   0.1662,2,   2314.8,2,   2314.0,2,   7.3219,2,    24.99,2,     -999,9,   6.4339,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6661,1,     51.3,2,20220712,0515,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,10         ,10         ,2,20220712,0451,  32.6220,-118.6778,     1066,    540.0,2,   6.0269,2,  34.3187,2,  34.3225,2,     12.8,2,     12.8,2,    77.50,2,    39.42,2,     0.00,2,     3.07,2,    0.332,2,    0.187,2,   0.1329,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   6.0279,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6694,1,     54.1,2,20220712,0512,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,9          ,9          ,2,20220712,0451,  32.6220,-118.6778,     1066,    590.0,2,   5.8722,2,  34.3360,2,  34.3360,2,     11.6,3,     11.5,2,    80.34,2,    39.96,2,     0.00,2,     3.09,2,    0.246,2,    0.142,2,   0.1393,2,   2322.5,2,   2324.2,2,   7.3186,2,    24.98,2,     -999,9,   5.8715,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6704,1,     55.0,2,20220712,0510,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,8          ,8          ,2,20220712,0451,  32.6220,-118.6778,     1066,    640.8,2,   5.7525,2,  34.3567,2,  34.3572,2,     10.8,3,     10.6,2,    82.78,2,    40.30,2,     0.00,2,     3.13,2,    0.174,2,    0.101,2,   0.1302,2,   2325.3,2,   2328.0,2,   7.3190,2,    24.99,2,     -999,9,   5.7530,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6706,1,     55.9,2,20220712,0508,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,7          ,7          ,2,20220712,0451,  32.6220,-118.6778,     1066,    691.3,2,   5.4896,2,  34.3825,2,  34.3833,2,     10.7,2,     10.7,2,    87.57,2,    41.08,2,     0.00,2,     3.15,2,    0.105,6,    0.063,6,   0.1671,6,   2331.0,2,   2335.7,2,   7.3230,2,    24.98,2,     -999,9,   5.4887,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6721,1,     56.9,6,20220712,0505,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,6          ,6          ,2,20220712,0451,  32.6220,-118.6778,     1066,    767.0,2,   5.1292,2,  34.4024,2,  34.4027,2,     11.6,2,     11.5,2,    95.19,2,    41.67,2,     0.00,2,     3.18,2,    0.087,2,    0.061,2,   0.2596,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   5.1295,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6666,1,     55.5,2,20220712,0502,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,5          ,5          ,2,20220712,0451,  32.6220,-118.6778,     1066,    843.4,2,   4.8709,2,  34.4212,2,  34.4220,2,     12.8,3,     13.1,2,   100.56,2,    42.00,2,     0.00,2,     3.21,2,    0.071,2,    0.056,2,   0.3963,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   4.8711,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6671,1,     55.3,2,20220712,0500,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,4          ,4          ,2,20220712,0451,  32.6220,-118.6778,     1066,    918.8,2,   4.7390,2,  34.4313,2,  34.4326,2,     13.7,3,     13.4,2,   103.39,2,    42.16,2,     0.00,2,     3.22,2,    0.066,2,    0.052,2,   0.4416,2,   2347.9,2,   2354.6,6,   7.3266,2,    24.99,2,     -999,9,   4.7381,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6681,1,     53.9,2,20220712,0458,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,3          ,3          ,2,20220712,0451,  32.6220,-118.6778,     1066,    994.2,2,   4.3788,2,  34.4565,2,  34.4569,2,     15.4,2,     15.5,2,   113.46,2,    42.01,2,     0.00,2,     3.22,2,    0.073,2,    0.075,2,   2.0514,2,   2358.4,2,   2366.0,2,   7.3323,2,    24.99,2,     -999,9,   4.3783,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6661,1,     51.8,2,20220712,0454,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,2          ,2          ,2,20220712,0451,  32.6220,-118.6778,     1066,   1036.0,2,   4.1621,2,  34.4728,2,  34.4730,2,     17.5,2,     17.6,2,   118.44,2,    42.07,2,     0.00,2,     3.22,2,    0.068,2,    0.085,2,   4.3077,2,   2363.4,2,   2372.2,2,   7.3360,2,    24.98,2,     -999,9,   4.1638,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6611,1,     50.0,2,20220712,0453,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,1          ,1          ,2,20220712,0451,  32.6220,-118.6778,     1066,   1065.9,2,   4.1151,2,  34.4766,2,  34.4760,2,     18.1,2,     18.2,2,   119.71,2,    42.08,2,     0.00,2,     3.22,2,    0.068,2,    0.085,2,   4.8958,2,   2364.9,6,   2375.6,2,   7.3378,2,    24.99,2,     -999,9,   4.1149,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0140,1,   4.6588,1,     50.5,2,20220712,0451,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,201     ,  1,36         ,36         ,2,20220712,1009,  32.6315,-118.1555,     2030,      5.0,2,  18.9826,2,  33.6276,2,  33.6297,2,    246.1,2,    245.1,2,     0.00,2,     0.00,2,     0.02,2,     0.15,2,    2.224,2,    1.312,2,   2.1384,2,   1999.6,6,   2248.1,2,     -999,1,     -999,1,     -999,9,  18.9765,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0330,1,   4.4548,1,      8.7,2,20220712,1143,  32.6315,-118.1555,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,201     ,  1,35         ,35         ,2,20220712,1009,  32.6315,-118.1555,     2030,     25.7,2,  13.7611,2,  33.6361,2,  33.6410,2,    243.0,2,    241.4,2,     2.64,2,     7.38,2,     0.38,2,     0.84,2,    2.725,6,    1.599,6,   2.3988,6,   2079.8,2,   2245.2,2,   7.7904,2,    25.01,2,     -999,9,  13.7649,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0797,1,   4.5202,1,     15.3,6,20220712,1139,  32.6315,-118.1554,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,201     ,  1,34         ,34         ,2,20220712,1009,  32.6315,-118.1555,     2030,     50.8,2,  11.7630,2,  33.6683,2,  33.6613,2,    195.8,3,    205.4,2,     9.00,2,    13.12,2,     0.24,2,     1.18,2,    2.846,2,    1.676,2,   2.4432,2,   2123.4,2,   2242.4,2,   7.6751,2,    25.00,2,     -999,9,  11.7607,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0317,1,   4.6251,1,     16.5,2,20220712,1138,  32.6315,-118.1554,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,201     ,  1,33         ,33         ,2,20220712,1009,  32.6315,-118.1555,     2030,     75.7,2,  10.2474,2,  33.7496,2,  33.7511,2,    143.8,2,    143.9,2,    19.26,2,    20.36,2,     0.04,2,     1.60,2,    2.929,2,    1.736,2,   1.9709,2,   2164.1,2,   2240.6,2,   7.5561,2,    25.02,2,     -999,9,  10.2582,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0159,1,   4.6557,1,     23.5,2,20220712,1136,  32.6315,-118.1554,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,201     ,  1,32         ,32         ,2,20220712,1009,  32.6315,-118.1555,     2030,    101.0,2,   9.5118,2,  33.8211,2,  33.8310,2,    147.4,2,    146.8,2,    22.39,2,    21.84,2,     0.00,2,     1.64,2,    3.047,2,    1.765,2,   1.8099,2,   2168.5,2,   2244.8,6,   7.5603,2,    25.02,2,     -999,9,   9.5421,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6597,1,     24.3,2,20220712,1134,  32.6315,-118.1554,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,201     ,  1,31         ,31         ,2,20220712,1009,  32.6315,-118.1555,     2030,    126.5,2,   9.1548,2,  33.9283,2,  33.9375,2,    142.3,2,    140.9,2,    25.81,2,    23.14,2,     0.00,2,     1.71,2,    2.931,2,    1.723,2,   1.6246,2,   2177.7,2,   2253.1,2,   7.5515,2,    25.01,2,     -999,9,   9.1554,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6604,1,     27.0,2,20220712,1131,  32.6315,-118.1554,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,201     ,  1,30         ,17         ,2,20220712,1009,  32.6315,-118.1555,     2030,    151.8,2,   8.9293,2,  34.0044,2,  34.0129,2,    124.5,3,    122.4,2,    30.40,2,    25.22,2,     0.00,2,     1.89,2,    2.808,2,    1.624,2,   1.4094,2,   2196.9,2,   2260.6,2,   7.5168,2,    25.01,2,     -999,9,   8.9275,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0125,1,   4.6622,1,     30.6,2,20220712,1130,  32.6315,-118.1554,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,201     ,  1,29         ,29         ,2,20220712,1009,  32.6315,-118.1555,     2030,    176.6,2,   8.7222,2,  34.0369,2,  34.0396,2,    112.6,2,    112.4,2,    33.73,2,    26.69,2,     0.00,2,     1.99,2,    2.683,2,    1.562,2,   1.2369,2,   2209.3,2,   2264.0,2,   7.4938,2,    25.00,2,     -999,9,   8.7164,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6630,1,     31.7,2,20220712,1128,  32.6315,-118.1554,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,201     ,  1,28         ,28         ,2,20220712,1009,  32.6315,-118.1555,     2030,    202.2,2,   8.3851,2,  34.0315,2,  34.0358,2,    112.0,2,    111.1,2,    35.88,2,    27.67,2,     0.00,2,     2.04,2,    2.677,2,    1.550,2,   1.1901,2,   2213.3,2,   2269.3,2,   7.4862,2,    24.99,2,     -999,9,   8.3830,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0129,1,   4.6629,1,     32.7,2,20220712,1126,  32.6315,-118.1554,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,201     ,  1,27         ,27         ,2,20220712,1009,  32.6315,-118.1555,     2030,    227.1,2,   8.0769,2,  34.0594,2,  34.0603,2,     96.7,3,     97.9,2,    39.98,2,    29.22,2,     0.00,2,     2.17,2,    2.501,2,    1.449,2,   0.9913,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   8.0757,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0133,1,   4.6636,1,     34.3,2,20220712,1124,  32.6315,-118.1554,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,201     ,  1,26         ,26         ,2,20220712,1009,  32.6315,-118.1555,     2030,    257.8,2,   7.8148,2,  34.1214,3,  34.1775,2,     67.7,3,     61.4,2,    46.43,2,    31.61,2,     0.00,2,     2.47,2,    1.935,2,    1.111,2,   0.7664,2,   2257.8,2,   2281.9,2,   7.3970,2,    24.99,2,     -999,9,   7.8064,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6656,1,     38.5,2,20220712,1115,  32.6315,-118.1555,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
